,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Source
0,1,c,a,1270,9,2008,0,,,,3
1,2,a,a,570,11,2007,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
2,3,a,a,14130,12,2006,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
3,4,c,c,620,9,2009,0,,,,3
4,5,a,a,29910,4,2015,0,,,,3
5,6,a,a,310,12,2013,0,,,,3
6,7,a,c,24000,4,2013,0,,,,3
7,8,a,a,7520,10,2014,0,,,,3
8,9,a,c,2030,8,2000,0,,,,3
9,10,a,a,3160,9,2009,0,,,,3
10,11,a,c,960,11,2011,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
11,12,a,c,1070,-1,-1,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
12,13,d,a,310,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
13,14,a,a,1300,3,2014,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
14,15,d,c,4110,3,2010,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
15,16,a,c,3270,-1,-1,0,,,,3
16,17,a,a,50,12,2005,1,26.0,2010.0,"Jan,Apr,Jul,Oct",3
17,18,d,c,13840,6,2010,1,14.0,2012.0,"Jan,Apr,Jul,Oct",3
18,19,a,c,3240,-1,-1,1,22.0,2011.0,"Mar,Jun,Sept,Dec",3
19,20,d,a,2340,5,2009,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
20,21,c,c,550,10,1999,1,45.0,2009.0,"Jan,Apr,Jul,Oct",3
21,22,a,a,1040,-1,-1,1,22.0,2012.0,"Jan,Apr,Jul,Oct",3
22,23,d,a,4060,8,2005,0,,,,3
23,24,a,c,4590,3,2000,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
24,25,c,a,430,4,2003,0,,,,3
25,26,d,a,2300,-1,-1,0,,,,3
26,27,a,a,60,1,2005,1,5.0,2011.0,"Jan,Apr,Jul,Oct",3
27,28,a,a,1200,10,2014,1,6.0,2015.0,"Mar,Jun,Sept,Dec",3
28,29,d,c,2170,-1,-1,0,,,,3
29,30,a,a,40,2,2014,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
30,31,d,c,9800,7,2012,0,,,,3
31,32,a,a,2910,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
32,33,a,c,1320,5,2013,0,,,,3
33,34,c,a,2240,9,2009,0,,,,3
34,35,d,c,7660,10,2000,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
35,36,a,c,540,6,2003,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
36,37,c,a,4230,12,2014,0,,,,3
37,38,d,a,1090,4,2007,0,,,,3
38,39,a,a,260,10,2006,1,31.0,2013.0,"Feb,May,Aug,Nov",3
39,40,a,a,180,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
40,41,d,c,1180,-1,-1,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
41,42,a,c,290,-1,-1,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
42,43,d,a,4880,-1,-1,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
43,44,a,a,540,6,2011,0,,,,3
44,45,d,a,9710,2,2014,0,,,,3
45,46,c,a,1200,9,2005,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
46,47,a,c,270,4,2013,1,14.0,2013.0,"Jan,Apr,Jul,Oct",3
47,48,a,a,1060,5,2012,0,,,,3
48,49,d,c,18010,9,2007,0,,,,3
49,50,d,a,6260,11,2009,0,,,,3
50,51,a,c,10570,7,2013,1,9.0,2011.0,"Jan,Apr,Jul,Oct",3
51,52,d,c,450,4,2014,1,39.0,2010.0,"Jan,Apr,Jul,Oct",3
52,53,a,c,30360,9,2013,0,,,,3
53,54,d,c,7170,8,2014,1,5.0,2013.0,"Feb,May,Aug,Nov",3
54,55,a,a,720,11,2004,0,,,,3
55,56,d,c,6620,3,2012,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
56,57,d,c,420,6,2014,0,,,,3
57,58,a,c,7340,5,2008,1,27.0,2012.0,"Jan,Apr,Jul,Oct",3
58,59,a,c,2840,6,2007,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
59,60,d,c,5540,10,2009,0,,,,3
60,61,a,c,350,12,2007,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
61,62,a,a,2050,-1,-1,0,,,,3
62,63,c,c,3700,6,2010,1,18.0,2010.0,"Feb,May,Aug,Nov",3
63,64,d,c,22560,-1,-1,1,14.0,2013.0,"Jan,Apr,Jul,Oct",3
64,65,a,c,13840,5,2010,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
65,66,d,a,7660,-1,-1,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
66,67,a,c,410,2,2006,0,,,,3
67,68,a,c,250,-1,-1,1,35.0,2012.0,"Mar,Jun,Sept,Dec",3
68,69,c,c,1130,-1,-1,1,40.0,2011.0,"Jan,Apr,Jul,Oct",3
69,70,c,c,4840,-1,-1,0,,,,3
70,71,a,a,17500,8,2008,1,37.0,2009.0,"Mar,Jun,Sept,Dec",3
71,72,a,a,2200,12,2009,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
72,73,a,c,1650,9,2008,0,,,,3
73,74,a,a,330,-1,-1,0,,,,3
74,75,d,c,22440,12,2013,0,,,,3
75,76,d,c,19960,3,2006,0,,,,3
76,77,d,c,1090,8,2009,1,10.0,2014.0,"Jan,Apr,Jul,Oct",3
77,78,a,a,3510,11,2006,1,5.0,2013.0,"Feb,May,Aug,Nov",3
78,79,a,a,3320,-1,-1,0,,,,3
79,80,d,a,7910,-1,-1,0,,,,3
80,81,a,a,2370,3,2011,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
81,82,a,a,22390,4,2008,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
82,83,a,a,2710,-1,-1,0,,,,3
83,84,a,c,11810,8,2014,0,,,,3
84,85,b,a,1870,10,2011,0,,,,3
85,86,a,a,480,2,2005,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
86,87,a,a,560,12,2010,0,,,,3
87,88,a,a,10690,10,2005,0,,,,3
88,89,a,a,2380,7,2004,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
89,90,a,a,330,11,2007,0,,,,3
90,91,c,a,2410,-1,-1,1,35.0,2011.0,"Jan,Apr,Jul,Oct",3
91,92,c,a,240,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
92,93,a,a,16690,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
93,94,d,c,14620,-1,-1,0,,,,3
94,95,a,a,1890,10,2014,0,,,,3
95,96,a,a,8780,2,2005,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
96,97,d,c,8980,-1,-1,0,,,,3
97,98,d,c,15140,12,2006,1,1.0,2012.0,"Jan,Apr,Jul,Oct",3
98,99,c,c,2030,11,2003,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
99,100,d,a,17930,-1,-1,0,,,,3
100,101,d,c,2440,-1,-1,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
101,102,a,a,150,12,2007,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
102,103,d,c,5210,5,2015,0,,,,3
103,104,a,a,390,6,2009,0,,,,3
104,105,a,c,6190,-1,-1,1,23.0,2013.0,"Mar,Jun,Sept,Dec",3
105,106,a,a,1390,8,2013,0,,,,3
106,107,a,a,1930,9,2009,0,,,,3
107,108,d,c,2190,9,2003,0,,,,3
108,109,a,c,3300,11,2010,0,,,,3
109,110,a,c,46590,4,2013,0,,,,3
110,111,d,c,7890,-1,-1,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
111,112,a,a,1630,9,2009,0,,,,3
112,113,d,c,20930,11,1999,0,,,,3
113,114,c,a,4510,-1,-1,1,48.0,2011.0,"Mar,Jun,Sept,Dec",3
114,115,d,c,5740,4,2007,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
115,116,a,a,680,4,2013,0,,,,3
116,117,a,a,3450,9,2011,0,,,,3
117,118,d,c,3580,9,2012,0,,,,3
118,119,a,c,2100,2,2010,0,,,,3
119,120,d,a,2290,12,2014,1,37.0,2009.0,"Jan,Apr,Jul,Oct",3
120,121,a,a,3570,11,2009,1,36.0,2013.0,"Mar,Jun,Sept,Dec",3
121,122,a,c,58260,4,2013,0,,,,3
122,123,a,a,16760,9,2011,0,,,,3
123,124,a,a,1410,4,2003,0,,,,3
124,125,a,a,760,12,2005,0,,,,3
125,126,d,a,3370,10,2014,1,18.0,2011.0,"Feb,May,Aug,Nov",3
126,127,d,a,1350,12,2005,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
127,128,d,c,2000,-1,-1,1,1.0,2013.0,"Jan,Apr,Jul,Oct",3
128,129,a,a,2460,-1,-1,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
129,130,c,a,900,-1,-1,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
130,131,c,a,920,7,2015,0,,,,3
131,132,d,c,1040,-1,-1,1,27.0,2012.0,"Jan,Apr,Jul,Oct",3
132,133,a,a,270,8,2013,1,10.0,2014.0,"Mar,Jun,Sept,Dec",3
133,134,a,a,1200,9,2008,0,,,,3
134,135,d,a,5190,-1,-1,1,1.0,2013.0,"Jan,Apr,Jul,Oct",3
135,136,a,c,2200,12,2010,1,22.0,2012.0,"Feb,May,Aug,Nov",3
136,137,a,a,1730,7,2015,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
137,138,a,c,25360,10,2014,0,,,,3
138,139,a,a,1700,1,2008,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
139,140,a,c,1090,7,2010,1,1.0,2013.0,"Jan,Apr,Jul,Oct",3
140,141,c,c,1540,-1,-1,1,22.0,2012.0,"Mar,Jun,Sept,Dec",3
141,142,a,a,1090,7,2002,0,,,,3
142,143,d,a,2930,12,2002,0,,,,3
143,144,a,c,16570,-1,-1,0,,,,3
144,145,a,a,280,-1,-1,1,45.0,2009.0,"Feb,May,Aug,Nov",3
145,146,d,c,8050,10,1961,1,48.0,2012.0,"Jan,Apr,Jul,Oct",3
146,147,d,c,8540,-1,-1,0,,,,3
147,148,a,a,2090,12,2008,0,,,,3
148,149,d,a,2610,7,2006,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
149,150,c,c,31830,3,2010,0,,,,3
150,151,d,c,4360,10,2005,0,,,,3
151,152,a,a,1780,-1,-1,0,,,,3
152,153,a,a,16240,10,2000,1,18.0,2011.0,"Feb,May,Aug,Nov",3
153,154,d,c,16420,-1,-1,0,,,,3
154,155,d,a,3050,-1,-1,1,35.0,2010.0,"Jan,Apr,Jul,Oct",3
155,156,a,a,2020,2,2011,1,14.0,2011.0,"Mar,Jun,Sept,Dec",3
156,157,a,c,2950,10,2004,0,,,,3
157,158,d,c,11840,-1,-1,1,31.0,2009.0,"Feb,May,Aug,Nov",3
158,159,d,a,8530,3,2013,0,,,,3
159,160,d,c,17110,11,2005,0,,,,3
160,161,a,c,2970,3,2005,0,,,,3
161,162,d,c,5340,3,2012,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
162,163,a,a,1480,4,2009,0,,,,3
163,164,a,a,1160,9,2005,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
164,165,a,a,3720,4,2005,1,13.0,2010.0,"Jan,Apr,Jul,Oct",3
165,166,a,c,100,4,2014,1,31.0,2013.0,"Jan,Apr,Jul,Oct",3
166,167,a,a,140,4,2008,0,,,,3
167,168,a,a,12540,-1,-1,0,,,,3
168,169,d,a,980,7,2014,1,18.0,2014.0,"Feb,May,Aug,Nov",3
169,170,a,a,1070,5,2015,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
170,171,a,a,2640,-1,-1,0,,,,3
171,172,a,a,110,-1,-1,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
172,173,a,a,350,12,2012,0,,,,3
173,174,a,a,13090,-1,-1,1,22.0,2012.0,"Jan,Apr,Jul,Oct",3
174,175,c,a,4130,-1,-1,0,,,,3
175,176,a,a,3770,-1,-1,0,,,,3
176,177,a,a,1250,2,2004,1,5.0,2013.0,"Feb,May,Aug,Nov",3
177,178,d,a,1710,-1,-1,0,,,,3
178,179,a,c,480,-1,-1,0,,,,3
179,180,d,a,5800,9,2010,0,,,,3
180,181,a,a,12610,3,2013,1,14.0,2011.0,"Jan,Apr,Jul,Oct",3
181,182,d,c,1390,-1,-1,1,9.0,2011.0,"Mar,Jun,Sept,Dec",3
182,183,a,a,9670,-1,-1,0,,,,3
183,184,d,c,3560,-1,-1,0,,,,3
184,185,d,c,1860,5,2015,0,,,,3
185,186,a,a,290,10,2011,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
186,187,a,c,19360,-1,-1,0,,,,3
187,188,d,a,850,-1,-1,1,18.0,2011.0,"Feb,May,Aug,Nov",3
188,189,d,a,5760,7,2014,0,,,,3
189,190,a,a,1470,12,2006,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
190,191,a,a,1100,8,2013,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
191,192,d,c,2770,3,2008,1,40.0,2014.0,"Jan,Apr,Jul,Oct",3
